Index,System Time,Channel,Direction,Frame ID,Data
24414,22:14:17.964,ch1,R,0x05d7,x| 00 00 12 7F 09 F0 C0
24415,22:14:17.964,ch1,R,0x055d,x| 01 1D F0 00 91 C0 00 00
24416,22:14:17.970,ch1,R,0x0186,x| 18 20 31 B3 1C 00 21
24417,22:14:17.971,ch1,R,0x0189,x| 31 C3 1A 3F 20 D7 00 00
24418,22:14:17.971,ch1,R,0x018a,x| 31 C8 00 06 AC 04 EB 10
24419,22:14:17.971,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
24420,22:14:17.971,ch1,R,0x017a,x| 31 C5 51 AA 00 00 32 00
24421,22:14:17.972,ch1,R,0x017c,x| 18 1C 50 08 4E 06 00 00
24422,22:14:17.972,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
24423,22:14:17.972,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
24424,22:14:17.972,ch1,R,0x0090,x| 00 00 00 00
24425,22:14:17.973,ch1,R,0x00c6,x| 80 23 80 00 80 08 BE 96
24426,22:14:17.973,ch1,R,0x012e,x| C8 80 02 7F E0 FF FF 00
24427,22:14:17.973,ch1,R,0x01bd,x| 0D 04 0D 8C 00 00 01 6B
24428,22:14:17.973,ch1,R,0x0242,x| 00 00 FF EF FE 00 0D
24429,22:14:17.974,ch1,R,0x029c,x| 00 00 00 00 FF FF FF FF
24430,22:14:17.974,ch1,R,0x0354,x| 00 00 00 00 00 00 00 00
24431,22:14:17.974,ch1,R,0x0356,x| 67 FF 00 FF 00 00
24432,22:14:17.975,ch1,R,0x0392,x| 00 46 00 00 00
24433,22:14:17.979,ch1,R,0x0211,x| 4E 12 0A 64 F1 28 00 E4
24434,22:14:17.979,ch1,R,0x0214,x| 04 00
24435,22:14:17.980,ch1,R,0x0186,x| 18 20 31 B3 1C 00 21
24436,22:14:17.980,ch1,R,0x0189,x| 31 C3 1A 3F 20 D7 00 00
24437,22:14:17.980,ch1,R,0x018a,x| 31 C8 00 06 AC 04 A1 20
24438,22:14:17.981,ch1,R,0x01f6,x| 1E 20 80 49 81 01 05 FE
24439,22:14:17.981,ch1,R,0x0217,x| 0B 05 00 00 00 00 00
24440,22:14:17.981,ch1,R,0x02c6,x| FF FF FF FF FF F0
24441,22:14:17.981,ch1,R,0x0511,x| 00 4C C0 8C CF C1 91
24442,22:14:17.982,ch1,R,0x017a,x| 31 C5 51 AA 00 00 32 00
24443,22:14:17.982,ch1,R,0x017c,x| 18 20 50 08 4E 06 00 00
24444,22:14:17.982,ch1,R,0x017e,x| 00 00 00 00 00 40 08 00
24445,22:14:17.982,ch1,R,0x020c,x| 00 00 00 00 00 00 00 00
24446,22:14:17.982,ch1,R,0x0090,x| 00 00 00 00
24447,22:14:17.983,ch1,R,0x00c6,x| 80 23 80 00 80 08 A0 B4
24448,22:14:17.983,ch1,R,0x012e,x| C7 80 02 7F E0 FF FF 00
24449,22:14:17.983,ch1,R,0x029a,x| 00 00 00 00 00 00 00 FF
24450,22:14:17.983,ch1,R,0x02b7,x| 00 E0 FF FE 01
24451,22:14:17.984,ch1,R,0x0596,x| 85 65 85 4B 1A 00 00 00
24452,22:14:17.984,ch1,R,0x05da,x| 85 5F 40 00 D5 38 C0 00
24453,22:14:17.984,ch1,R,0x01a0,x| F0
24454,22:14:17.984,ch1,R,0x0563,x| 19 20
24455,22:14:17.984,ch1,R,0x05de,x| 06 00 00 80 00 00 00 42
24456,22:14:17.984,ch1,R,0x062c,x| 00
24457,22:14:17.985,ch1,R,0x0648,x| FF FF F0 64 C8 64 FA 1E
24458,22:14:17.985,ch1,R,0x065c,x| 96 5F 00
24459,22:14:17.985,ch1,R,0x0666,x| 34 00 00 00
24460,22:14:17.985,ch1,R,0x066a,x| 20 FE 00 66 66 C0 1F 02
24461,22:14:17.986,ch1,R,0x0593,x| 0F FF 00 00
24462,22:14:17.988,ch1,R,0x03b7,x| 30 64 FF 8F 7F 46 FF FF
